iter	Passed	Remaining
414	3186	4491
415	3194	4484
416	3201	4476
417	3209	4468
418	3217	4461
419	3225	4454
420	3233	4446
421	3240	4438
422	3248	4430
423	3256	4423
424	3263	4415
425	3271	4407
426	3279	4400
427	3286	4392
428	3294	4384
429	3301	4376
430	3309	4369
431	3317	4361
432	3324	4353
433	3332	4346
434	3340	4338
435	3347	4330
436	3355	4323
437	3362	4315
438	3370	4307
439	3378	4299
440	3385	4291
441	3393	4284
442	3401	4277
443	3409	4269
444	3417	4262
445	3425	4254
446	3433	4247
447	3440	4239
448	3448	4231
449	3455	4223
450	3463	4215
451	3470	4207
452	3478	4200
453	3486	4193
454	3494	4185
455	3502	4177
456	3509	4170
457	3517	4162
458	3524	4154
459	3532	4146
460	3540	4139
461	3547	4131
462	3555	4123
463	3563	4116
464	3571	4108
465	3579	4101
466	3587	4094
467	3595	4087
468	3603	4079
469	3611	4072
470	3619	4064
471	3626	4056
472	3634	4049
473	3641	4041
474	3649	4033
475	3656	4025
476	3664	4017
477	3671	4009
478	3679	4001
479	3686	3993
480	3694	3986
481	3702	3978
482	3710	3971
483	3717	3963
484	3724	3955
485	3732	3947
486	3740	3939
487	3747	3931
488	3755	3924
489	3763	3916
490	3770	3909
491	3778	3901
492	3786	3893
493	3793	3885
494	3801	3877
495	3808	3870
496	3816	3862
497	3824	3854
498	3831	3847
499	3839	3839
500	3846	3831
501	3854	3823
502	3861	3815
503	3869	3808
504	3877	3800
505	3884	3792
506	3892	3785
507	3900	3777
508	3907	3769
509	3915	3762
510	3923	3754
511	3931	3746
512	3938	3739
513	3946	3731
514	3954	3723
515	3961	3716
516	3969	3708
517	3977	3700
518	3984	3693
519	3992	3685
520	4000	3677
521	4008	3670
522	4015	3662
523	4023	3654
524	4031	3647
525	4038	3639
526	4046	3631
527	4053	3624
528	4061	3616
529	4069	3608
530	4076	3600
531	4083	3592
532	4091	3584
533	4098	3576
534	4106	3569
535	4114	3561
536	4122	3554
537	4130	3547
538	4138	3539
539	4146	3532
540	4154	3524
541	4162	3517
542	4169	3509
543	4177	3501
544	4184	3493
545	4192	3486
546	4200	3478
547	4207	3470
548	4215	3463
549	4223	3455
550	4230	3447
551	4238	3440
552	4246	3432
553	4254	3425
554	4261	3417
555	4269	3409
556	4277	3401
557	4284	3393
558	4292	3386
559	4299	3378
560	4307	3370
561	4315	3362
562	4323	3355
563	4330	3347
564	4338	3340
565	4346	3332
566	4353	3324
567	4361	3317
568	4369	3309
569	4377	3302
570	4385	3294
571	4392	3286
572	4400	3279
573	4408	3271
574	4415	3263
575	4423	3255
576	4430	3248
577	4438	3240
578	4446	3233
579	4454	3225
580	4462	3217
581	4469	3210
582	4477	3202
583	4485	3194
584	4492	3187
585	4500	3179
586	4508	3171
587	4515	3164
588	4523	3156
589	4530	3148
590	4538	3140
591	4545	3132
592	4553	3125
593	4560	3117
594	4568	3109
595	4576	3102
596	4583	3094
597	4591	3086
598	4599	3078
599	4606	3071
600	4614	3063
601	4622	3055
602	4629	3048
603	4637	3040
604	4644	3032
605	4652	3024
606	4660	3017
607	4668	3009
608	4675	3001
609	4683	2994
610	4690	2986
611	4698	2978
612	4705	2970
613	4713	2963
614	4721	2955
615	4728	2947
616	4736	2940
617	4743	2932
618	4751	2924
619	4758	2916
620	4766	2908
621	4774	2901
622	4781	2893
623	4789	2885
624	4796	2878
625	4804	2870
626	4812	2862
627	4819	2854
628	4827	2847
629	4834	2839
630	4842	2831
631	4850	2824
632	4857	2816
633	4865	2808
634	4873	2801
635	4881	2793
636	4889	2786
637	4896	2778
638	4904	2770
639	4912	2763
640	4920	2755
641	4927	2747
642	4935	2740
643	4943	2732
644	4951	2725
645	4958	2717
646	4966	2709
647	4973	2701
648	4981	2694
649	4988	2686
650	4996	2678
651	5004	2671
652	5012	2663
653	5019	2655
654	5027	2648
655	5035	2640
656	5042	2632
657	5050	2624
658	5057	2617
659	5065	2609
660	5073	2601
661	5081	2594
662	5089	2586
663	5096	2578
664	5103	2571
665	5111	2563
666	5118	2555
667	5126	2547
668	5134	2540
669	5141	2532
670	5149	2524
671	5157	2517
672	5164	2509
673	5172	2501
674	5180	2494
675	5188	2486
676	5195	2478
677	5203	2471
678	5210	2463
679	5218	2455
680	5225	2447
681	5233	2440
682	5240	2432
683	5248	2424
684	5256	2417
685	5263	2409
686	5271	2401
687	5279	2394
688	5286	2386
689	5294	2378
690	5301	2370
691	5309	2363
692	5316	2355
693	5324	2347
694	5331	2339
695	5339	2332
