iter	MultiClass
279	0.3046625674
280	0.3043446449
281	0.304034744
282	0.3036184879
283	0.3033557854
284	0.3031302701
285	0.3029503024
286	0.3028916536
287	0.302672361
288	0.3022876834
289	0.3020691738
290	0.3019271976
291	0.3014849507
292	0.3011827116
293	0.3008665458
294	0.300532961
295	0.3001499978
296	0.2998256622
297	0.2996002951
298	0.2993075592
299	0.2990106326
300	0.2986924984
301	0.2985224571
302	0.2983734118
303	0.2979509966
304	0.297808703
305	0.2973196598
306	0.2970722597
307	0.2966849788
308	0.2963871844
309	0.2962039784
310	0.2960471019
311	0.2958190257
312	0.2955603869
313	0.2953754242
314	0.2952437131
315	0.2949424687
316	0.2945089842
317	0.294145493
318	0.2939031937
319	0.2937966904
320	0.2935014782
321	0.2933381463
322	0.2931315316
323	0.2929577441
324	0.2926393771
325	0.2924057556
326	0.2923093904
327	0.2919815837
328	0.2916745401
329	0.29150579
330	0.2913373784
331	0.2910824012
332	0.2909009308
333	0.2906717539
334	0.2903848808
335	0.2899730271
336	0.2897993242
337	0.2896645442
338	0.2894127418
339	0.2891638813
340	0.2889498376
341	0.2885345552
342	0.2883705248
343	0.2880405381
344	0.2876433308
345	0.2871789662
346	0.2869570279
347	0.2864999018
348	0.2862862602
349	0.2859421563
350	0.2857840734
351	0.2856227946
352	0.2854682463
353	0.2852902892
354	0.2849800497
355	0.2847352106
356	0.284396017
357	0.2840582839
358	0.2838989734
359	0.2836685267
360	0.2834075174
361	0.2831288563
362	0.2830353696
363	0.282863106
364	0.282684768
365	0.2823485799
366	0.2822468176
367	0.281982316
368	0.2816806061
369	0.2815150095
370	0.2813935847
371	0.281278446
372	0.2810973777
373	0.2809937317
374	0.2808403052
375	0.2806472997
376	0.2804697871
377	0.2802953435
378	0.2801439488
379	0.2798221107
380	0.2796970667
381	0.2795387721
382	0.279337872
383	0.2790956997
384	0.2788910534
385	0.2785099104
386	0.2781668648
387	0.2776830282
388	0.2775044997
389	0.2773728945
390	0.277111991
391	0.2768619665
392	0.2766004069
393	0.2764539225
394	0.276188532
395	0.2759158395
396	0.275708992
397	0.2753620731
398	0.2751584427
399	0.2750656121
400	0.2749285251
401	0.2747934911
402	0.2745628539
403	0.2743651497
404	0.2741799119
405	0.2740452377
406	0.2739839221
407	0.2737095152
408	0.2735256107
409	0.2732207895
410	0.2730536267
411	0.2727931042
412	0.2724313909
413	0.2722196753
414	0.2720288922
415	0.2718156104
416	0.2716717717
417	0.2714285624
418	0.2711439327
419	0.2709790134
420	0.2708813149
421	0.2706243481
422	0.2704366339
423	0.270274064
424	0.2701377601
425	0.270016039
426	0.2696919574
427	0.2692115496
428	0.2690650864
429	0.2688053682
430	0.2686809591
431	0.268380392
432	0.2679931111
433	0.2678113867
434	0.267670236
435	0.2673887176
436	0.267277304
437	0.2671204275
438	0.2670545402
439	0.2667386072
440	0.2665879744
441	0.266329124
442	0.2661128368
443	0.2658474675
444	0.2655189412
445	0.2652766842
446	0.2650090079
447	0.2649512057
448	0.264836321
449	0.2645548873
450	0.2642622995
451	0.2640718127
452	0.2638814528
453	0.2637306084
454	0.2634749751
455	0.2632598308
456	0.2626924552
457	0.2623870836
458	0.2620944959
459	0.2619727324
460	0.2617080404
461	0.261303531
462	0.2610002972
463	0.2608529662
464	0.260718038
465	0.2605098359
466	0.2602483186
467	0.260154324
468	0.2600330897
469	0.2597268503
470	0.2595641534
471	0.2595033035
472	0.2591297799
473	0.2589511668
474	0.2588301653
475	0.2587334615
476	0.2585991895
477	0.2585323074
478	0.2584754788
479	0.258337651
480	0.2581328777
481	0.2578792339
482	0.2577236485
483	0.2575935883
484	0.2574407755
485	0.2571841474
486	0.2569031159
487	0.256727868
488	0.2565828652
489	0.2562386343
490	0.2560471527
491	0.2559235902
492	0.2557196635
493	0.255557538
494	0.2554607496
495	0.2553188369
496	0.2551800143
497	0.2550918401
498	0.2549006124
499	0.2547422967
500	0.2546154748
501	0.2544051985
502	0.2542343107
503	0.2540383844
504	0.2538524269
505	0.2537594058
506	0.2536316526
507	0.2534578863
508	0.25320456
509	0.2530538214
510	0.252984717
511	0.2527260359
512	0.2526039973
513	0.2524174896
514	0.2522340507
515	0.2520234146
516	0.2518686547
517	0.2512495301
518	0.250988415
519	0.2507788583
520	0.2505859375
521	0.2504453159
522	0.2502763752
523	0.2500398329
524	0.2497115606
525	0.2495550016
526	0.249124332
527	0.2490339989
528	0.2489090607
529	0.2487737516
530	0.2487333472
531	0.2483999741
532	0.2480730352
533	0.2479687542
534	0.2477787542
535	0.2475397779
536	0.2474076012
537	0.247180943
538	0.2470341412
539	0.2468915512
540	0.2467066731
541	0.2465730784
542	0.246368559
543	0.2462964068
544	0.2461612035
545	0.2459463555
546	0.2455450209
547	0.2453501106
548	0.2449751478
549	0.2447898253
550	0.2446227048
551	0.244401211
552	0.2441723305
553	0.2437544447
554	0.2436315595
555	0.2435211195
556	0.2433040915
557	0.2431988369
558	0.243067528
559	0.2429451931
560	0.2428256097
561	0.2427316362
562	0.242570823
563	0.2424076604
564	0.2422902147
565	0.2420616517
566	0.2419212206
567	0.2417245323
568	0.2415059381
569	0.2412636389
570	0.2412211815
571	0.2411104239
572	0.2410309486
573	0.240875088
574	0.2407062744
575	0.2404627475
576	0.2403142101
577	0.2400748952
578	0.239703975
579	0.2395374048
580	0.2393931851
581	0.2392085611
582	0.238941308
583	0.2387461649
584	0.238635873
585	0.2385006697
586	0.2382135425
587	0.2379808099
588	0.237863597
589	0.2376764331
590	0.2375562571
591	0.237488592
592	0.2373295354
593	0.2372282176
594	0.237152298
595	0.2370303653
596	0.236902718
597	0.2367383701
598	0.2365462748
599	0.2363446127
600	0.2362111449
601	0.2360032391
602	0.2358418756
603	0.2356668394
604	0.2355609075
605	0.2353979778
606	0.2351518688
607	0.2349750124
608	0.2348001031
609	0.2346853031
610	0.2344160605
611	0.234276349
612	0.2340969316
613	0.2338579341
614	0.2337123175
615	0.2334573826
616	0.233315999
617	0.2332165014
618	0.2330685143
619	0.2329839382
620	0.2328532642
621	0.2326737833
622	0.2324869157
623	0.2323847512
624	0.2323078157
625	0.2321332028
626	0.2320191435
627	0.2318556423
628	0.2316828919
629	0.2314464343
630	0.2312387613
631	0.2309009858
632	0.2305983234
633	0.230476433
634	0.2303526165
635	0.2302672996
636	0.2301373452
637	0.2299350059
638	0.2297962468
639	0.2297140623
640	0.2296406614
641	0.2295308352
642	0.2293120081
643	0.228936876
644	0.2287867301
645	0.2286647974
646	0.2285723477
647	0.2284109631
648	0.2283040788
649	0.2282217038
650	0.2280452283
651	0.2277013996
652	0.2276135005
653	0.2273967265
654	0.2272861383
655	0.2271530092
656	0.2270614485
657	0.2268858408
658	0.2267356314
659	0.2266264612
660	0.2264574148
661	0.2262978503
662	0.2261758117
663	0.2261180942
664	0.2260449473
665	0.2258702708
666	0.2257979705
667	0.2255594387
668	0.2254842175
669	0.2252884394
670	0.2252239914
671	0.2249615428
672	0.2249245249
673	0.224775289
674	0.2246019672
675	0.2244752723
676	0.2243451909
677	0.2241646306
678	0.2240693448
679	0.2239096322
680	0.223693599
681	0.2235673485
682	0.2233827456
683	0.223205614
684	0.2229810301
685	0.2228314344
686	0.2225914845
687	0.2223599583
688	0.2222819857
689	0.2220338025
690	0.2218940064
691	0.221701911
692	0.2215769516
693	0.2214617706
694	0.2212085289
695	0.2210400327
696	0.220867621
697	0.2207221737
698	0.2204114685
699	0.220288795
700	0.2199671262
701	0.2196631515
702	0.2195135559
703	0.2193681086
704	0.2191599912
705	0.2189997706
706	0.2188348513
707	0.2186372953
708	0.2183927737
709	0.218272513
710	0.2181888681
711	0.2181203564
712	0.2179238163
713	0.2177197414
714	0.2176179791
715	0.2174593459
716	0.2172671447
717	0.2171406614
718	0.2169826632
719	0.2169029973
720	0.216763688
721	0.2166451205
722	0.2165410512
723	0.2164610467
724	0.216295556
725	0.2161977727
726	0.2160854913
727	0.215880718
728	0.2158017929
729	0.2156957129
730	0.2156400908
731	0.2154886326
732	0.2154070831
733	0.2152893834
734	0.2151995371
735	0.2149773448
736	0.214872196
737	0.2147205473
738	0.2145645598
739	0.2142961215
740	0.2141413192
741	0.2140052481
742	0.2139265136
743	0.2137588428
744	0.2134887537
745	0.2133073679
746	0.2130801171
747	0.2129119172
748	0.2126885608
749	0.2117873676
750	0.2117258403
751	0.2114906103
752	0.2114425229
753	0.2112701112
754	0.2111567715
755	0.2110549669
756	0.2109507706
757	0.2108093024
758	0.2106992433
759	0.2105708975
760	0.210428498
761	0.2099389892
762	0.2097165006
763	0.209571011
764	0.2093615389
765	0.2092143349
766	0.2090860738
767	0.209004355
768	0.2088858298
769	0.2087917928
770	0.2087418006
771	0.2086845064
772	0.2085269949
773	0.2083748171
774	0.2082634035
775	0.2081700015
776	0.2080364702
777	0.2078280353
778	0.2077172143
779	0.207578561
780	0.2074540249
781	0.2073017836
782	0.207175512
783	0.2070166248
784	0.2068543512
785	0.2067372865
786	0.2066294074
787	0.2060123783
788	0.2058890698
789	0.2057765132
790	0.2056470245
791	0.2054728137
792	0.2053860364
793	0.2053555585
794	0.2052449915
795	0.2050957979
796	0.2048978398
797	0.2047985538
798	0.2046651919
799	0.2044822187
800	0.2043291731
801	0.2041704341
802	0.2040504909
803	0.2038666499
804	0.2037104084
805	0.203611588
806	0.2034809987
807	0.203371363
808	0.203311148
809	0.2031901888
810	0.2030661607
811	0.2030046547
812	0.2028988075
813	0.2026734404
814	0.2025616458
815	0.2024201141
816	0.2023702488
817	0.2023125948
818	0.2022358921
819	0.2021008793
820	0.2019316846
821	0.2018512357
822	0.2017466161
823	0.2016435416
824	0.2014362072
825	0.2013767118
826	0.2012710975
827	0.2011589431
828	0.2011045485
829	0.2010106596
830	0.2009514817
831	0.2008429677
832	0.2006740271
833	0.2005389719
834	0.2002995511
835	0.2002167317
836	0.1999586644
837	0.1998566057
838	0.1997690241
839	0.1995908766
840	0.1993965377
841	0.1992927647
842	0.1992452912
843	0.1991063628
844	0.1988921286
845	0.1987721642
846	0.1987045414
847	0.1985791587
848	0.1984436802
849	0.1983482887
850	0.1981898671
851	0.1980951317
852	0.1980366734
853	0.1978842839
854	0.1977462233
855	0.19764971
856	0.1974223957
857	0.1973540321
858	0.1972638895
859	0.1971127487
860	0.1968193355
861	0.196721002
862	0.1966808304
863	0.1965676389
864	0.196484883
865	0.1964398011
866	0.1963220802
867	0.1962373347
868	0.1961185556
869	0.1959761138
870	0.1958641287
871	0.1958085277
872	0.1955754353
873	0.1955011666
874	0.19538552
875	0.1951902286
876	0.195042432
877	0.1949562685
878	0.1947513046
879	0.1944821891
880	0.1943484461
881	0.1943048247
882	0.1942137084
883	0.1941062739
884	0.1940412544
885	0.1939064955
886	0.1938202685
887	0.1936305224
888	0.193304409
889	0.1931894184
890	0.1930883122
891	0.19299091
892	0.1929552254
893	0.1928337583
894	0.1926937928
895	0.19255097
896	0.192516111
897	0.1923882731
898	0.1922851563
899	0.1921606414
900	0.1919766522
901	0.1918480736
902	0.1917616561
903	0.1916678519
904	0.1915846938
905	0.191451607
906	0.1913484055
907	0.1912644855
908	0.1911549979
909	0.1910436689
910	0.190654335
911	0.1905386036
912	0.1904841456
913	0.1903443706
914	0.1902834571
915	0.1901825837
916	0.1900487773
917	0.1898379084
918	0.1897127586
919	0.1896032498
920	0.1894718562
921	0.1894263933
922	0.1892429757
923	0.1891307155
924	0.1890277044
925	0.1888623195
926	0.188712745
927	0.1885242689
928	0.1883957326
929	0.1883035581
930	0.1882042722
931	0.1881368821
932	0.187914076
933	0.1877612421
934	0.1875823326
935	0.1874357636
936	0.187360098
937	0.1872297203
938	0.1870404399
939	0.1869873364
940	0.1868816797
941	0.1867278934
942	0.1865909545
943	0.1864929384
944	0.186294684
945	0.186009631
946	0.1855637437
947	0.1853964539
948	0.1853131053
949	0.1852086127
950	0.1851017919
951	0.1850413864
952	0.1849520693
953	0.1848972514
954	0.184768186
955	0.1846749109
956	0.1844896942
957	0.184390112
958	0.1843436755
959	0.1841704171
960	0.1840755547
961	0.1840175197
962	0.1839220646
963	0.1838214029
964	0.1836453296
965	0.1835441388
966	0.1833970829
967	0.1832758275
968	0.1831792718
969	0.1830941665
970	0.1829010975
971	0.1828079918
972	0.1827439882
973	0.1825474905
974	0.1824164355
975	0.1823023339
976	0.1822230491
977	0.182103762
978	0.1819370013
979	0.1818553883
980	0.1817086923
981	0.1815498263
982	0.1814075961
983	0.1811811073
984	0.181051936
985	0.1809209869
986	0.1808615973
987	0.1808255953
988	0.180693715
989	0.180579317
990	0.1804495743
991	0.180321419
992	0.1802430654
993	0.1799745637
994	0.1798167136
995	0.1796887276
996	0.1795653556
997	0.1794752553
998	0.1793640745
999	0.1792632858
